Year,Url,SubmittedPapers,AcceptedPaper,AcceptanceRate,Source,NoteSubmissions,City,Alpha-3,Latitude,Longitude,Note
1982,https://dl.acm.org/doi/proceedings/10.1145/800049,165.0,75.0,45.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Gaithersburg,USA,39.131944,-77.226389,
1983,https://dl.acm.org/doi/proceedings/10.1145/800045,176.0,59.0,34.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Boston,USA,42.360278,-71.057778,
1985,https://dl.acm.org/doi/proceedings/10.1145/317456,170.0,35.0,21.0,https://archive.sigchi.org/conferences/conference-history/chi/,,San Francisco,USA,37.7775,-122.416389,
1986,https://dl.acm.org/doi/proceedings/10.1145/22627,122.0,47.0,39.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Boston,USA,42.360278,-71.057778,
1987,https://dl.acm.org/doi/proceedings/10.1145/29933,166.0,46.0,28.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Toronto,CAN,43.741667,-79.373333,
1988,https://dl.acm.org/doi/proceedings/10.1145/57167,187.0,39.0,21.0,https://archive.sigchi.org/conferences/conference-history/chi/,,"Washington, D.C.",USA,38.904722,-77.016389,
1989,https://dl.acm.org/doi/proceedings/10.1145/67449,199.0,54.0,27.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Austin,USA,30.267222,-97.743056,
1990,https://dl.acm.org/doi/proceedings/10.1145/97243,260.0,47.0,18.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Seattle,USA,47.6,-122.333333,
1991,https://dl.acm.org/doi/proceedings/10.1145/108844,240.0,56.0,23.0,https://archive.sigchi.org/conferences/conference-history/chi/,,New Orleans,USA,29.976111,-90.078333,
1992,https://dl.acm.org/doi/proceedings/10.1145/142750,216.0,67.0,31.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Monterey,USA,36.603056,-121.893611,
1993,https://dl.acm.org/doi/proceedings/10.1145/169059,330.0,62.0,19.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Amsterdam,NLD,52.372778,4.893611,
1994,https://dl.acm.org/doi/proceedings/10.1145/191666,263.0,69.0,27.0,https://archive.sigchi.org/conferences/conference-history/chi/ + ACM DL (only contains 69 Atricles),,Boston,USA,42.360278,-71.057778,
1995,https://dl.acm.org/doi/proceedings/10.5555/223904,228.0,66.0,29.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Denver,USA,39.7392,-104.9849,
1996,https://dl.acm.org/doi/proceedings/10.1145/238386,256.0,55.0,21.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Vancouver,CAN,49.260833,-123.113889,
1997,https://dl.acm.org/doi/proceedings/10.1145/258549,234.0,55.0,24.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Atlanta,USA,33.748889,-84.39,
1998,https://dl.acm.org/doi/proceedings/10.5555/274644,351.0,81.0,23.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Los Angeles,USA,34.05,118.25,
1999,https://dl.acm.org/doi/proceedings/10.1145/302979,312.0,78.0,25.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Pittsburgh,USA,40.439722,-79.976389,
2000,https://dl.acm.org/doi/proceedings/10.1145/332040,336.0,72.0,21.0,https://archive.sigchi.org/conferences/conference-history/chi/,,The Hague,NLD,52.08,4.31,
2001,https://dl.acm.org/doi/proceedings/10.1145/365024,352.0,69.0,20.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Seattle,USA,47.6,-122.333333,
2002,https://dl.acm.org/doi/proceedings/10.1145/503376,414.0,61.0,15.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Minneapolis,USA,44.981944,-93.269167,
2003,https://dl.acm.org/doi/proceedings/10.1145/642611,468.0,75.0,16.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Fort Lauderdale,USA,26.133333,-80.15,
2004,https://dl.acm.org/doi/proceedings/10.1145/985692,578.0,93.0,16.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Vienna,AUT,48.208333,16.3725,
2005,https://dl.acm.org/doi/proceedings/10.1145/1054972,372.0,93.0,25.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Portland,USA,45.52,-122.681944,
2006,https://dl.acm.org/doi/proceedings/10.1145/1124772,674.0,151.0,,Front Matter,Full papers and Notes,Montreal,CAN,45.508889,-73.554167,
2007,https://dl.acm.org/doi/proceedings/10.1145/1240624,840.0,182.0,,Front Matter,Full papers and Notes,San Jose,USA,37.336111,-121.890556,
2008,https://dl.acm.org/doi/proceedings/10.1145/1357054,1055.0,218.0,,Front Matter,Full papers and Notes,Florence,ITA,43.771389,11.254167,
2009,https://dl.acm.org/doi/proceedings/10.1145/1518701,1130.0,,24.5,Front Matter,Full papers and Notes,Boston,USA,42.360278,-71.057778,
2010,https://dl.acm.org/doi/proceedings/10.1145/1753326,1346.0,,22.0,Front Matter,Full papers and Notes,Atlanta,USA,33.748889,-84.39,
2011,https://dl.acm.org/doi/proceedings/10.1145/1978942,1540.0,409.0,26.0,Front Matter,Full papers and Notes,Vancouver,CAN,49.260833,-123.113889,
2012,https://dl.acm.org/doi/proceedings/10.1145/2207676,1577.0,370.0,23.0,https://archive.sigchi.org/conferences/conference-history/chi/,,Austin,USA,30.267222,-97.743056,
2013,https://dl.acm.org/doi/proceedings/10.1145/2470654,1963.0,392.0,20.0,Front Matter,Full papers and Notes,Paris,FRA,48.856667,2.352222,
2014,https://dl.acm.org/doi/proceedings/10.1145/2556288,2036.0,465.0,23.0,Front Matter,Full papers and Notes,Toronto,CAN,43.741667,-79.373333,
2015,https://dl.acm.org/doi/proceedings/10.1145/2702123,2120.0,486.0,23.0,Front Matter,Full papers and Notes,Seoul,KOR,37.566667,126.983333,
2016,https://dl.acm.org/doi/proceedings/10.1145/2858036,2435.0,565.0,23.0,https://archive.sigchi.org/conferences/conference-history/chi/,,San Jose,USA,37.336111,-121.890556,
2017,https://dl.acm.org/doi/proceedings/10.1145/3025453,,,,,,Denver,USA,39.7392,-104.9849,
2018,https://dl.acm.org/doi/proceedings/10.1145/3173574,2592.0,666.0,25.7,Front Matter,Full papers and Notes,Montreal,CAN,45.508889,-73.554167,
2019,https://dl.acm.org/doi/proceedings/10.1145/3290605,2958.0,703.0,23.8,Front Matter,,Glasgow,GBR,55.861111,4.25,
2020,https://dl.acm.org/doi/proceedings/10.1145/3313831,3126.0,758.0,24.3,Front Matter,,Honolulu,USA,21.306944,-157.858333,Cancled
2021,https://dl.acm.org/doi/proceedings/10.1145/3411764,2844.0,747.0,26.3,Front Matter,,Yokohama,JPN,35.444167,139.638056,Virtualdue to COVID19
2022,https://dl.acm.org/doi/proceedings/10.1145/3491102,2579.0,637.0,24.7,Front Matter,,New Orleans,USA,29.976111,-90.078333,
2023,https://dl.acm.org/doi/proceedings/10.1145/3544548,3182.0,879.0,27.6,Front Matter,,Hamburg,DEU,53.55,10.0,
2024,https://dl.acm.org/doi/proceedings/10.1145/3613904,4028.0,1058.0,26.3,Front Matter,,Honolulu,USA,21.306944,-157.858333,
2025,https://dl.acm.org/doi/proceedings/10.1145/3706598,5020.0,1249.0,25.0,Front Matter,,Yokohama,JPN,35.444167,139.638056,
2026,,,,,https://chi2026.acm.org/authors/papers/selecting-a-subcommittee/,,Barcelona,ESP,41.383333,2.183333